name,description,type,modules_count,topics_count,duration
UI/UX designer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш їхню роботу. UI/UX дизайнери створюють дизайн інтерфейсів та роблять їх інтуїтивно зрозумілими. Вони також адаптують дизайни для різних пристроїв і проводять дослідження користувачів, щоб удосконалювати свої рішення. Вражає, чи не так?",FULL-TIME/FLEX,0,39,4+ місяці
Data analyst,"Щоразу, коли ти користуєшся сайтом або застосунком, Data analyst збирає і аналізує дані для покращення твого досвіду. Вони створюють звіти, які допомагають бізнесам приймати обґрунтовані рішення. Вони також користуються різними інструментами та техніками для аналізу тенденцій. Вражає, чи не так?",FULL-TIME/FLEX,0,54,4+ місяці
QA engineer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат їхньої роботи. QA-engineers тестують програмне забезпечення та покращують його швидкість, виявляючи і виправляючи помилки. Вони також складають детальні плани тестування та автоматизують цей процес. Вражає, чи не так?",FULL-TIME/FLEX,0,37,3+ місяці
Python developer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат їхньої роботи. Python developers пишуть і підтримують код, розробляють вебзастосунки, працюють з різними фреймворками та бібліотеками. Вони також займаються аналізом даних та машинним навчанням. Вражає, чи не так?",FULL-TIME/FLEX,0,57,4+ місяці
Digital marketer,"Щоразу, коли ти бачиш онлайн-рекламу або отримуєш цільовий email, ти стикаєшся з роботою Digital marketer. Вони створюють і управляють рекламними кампаніями, аналізують їхню ефективність та оптимізують контент для різних каналів. Вони також займаються SEO та розробкою стратегій у соціальних мережах. Вражає, чи не так?",FLEX,0,38,3+ місяці
Front-end developer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат їхньої роботи. Front-end developers розробляють візуальні елементи та інтерфейси, адаптують їх для різних пристроїв і додають анімацію. Вони також працюють з базами даних. Вражає, чи не так?",FULL-TIME/FLEX,0,55,5+ місяців
Full-stack developer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат їхньої роботи. Full-stack developers працюють як з фронтенд, так і з бекенд розробкою, створюють цілісні застосунки і забезпечують безперебійний досвід їхнього використання. Вони також управляють базами даних і серверною логікою. Вражає, чи не так?",FULL-TIME/FLEX,0,55,5+ місяців
DevOps engineer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат роботи DevOps engineer. Вони спрощують процеси розробки, автоматизують управління інфраструктурою, забезпечують безперервну інтеграцію, а також слідкують за продуктивністю системи. Окрім того, займаються налаштуванням хмарних сервісів та їх конфігураціями. Вражає, чи не так?",FLEX,0,48,4+ місяці
Java developer,"Щоразу, коли ти користуєшся сайтом або застосунком, ти бачиш результат їхньої роботи. Java developers не лише пишуть і підтримують код, а й розробляють надійні застосунки, які відзначаються високою продуктивністю та масштабованістю. Вони також управляють базами даних і серверною логікою. Вражає, чи не так?",FLEX,0,64,4+ місяці
Recruiter,"Коли ти знаходиш нову роботу чи наймаєш співробітника — це результат роботи рекрутерів. Вони займаються пошуком кандидатів, підбирають кандидатів під конкретні ролі, а також допомагають з адаптацією нових працівників. Вражає, чи не так?",FLEX,0,32,4+ місяці
